image_url_1,category,style,colors,gender,pattern,occasion,accessory_type,more_attributes,bag_type,belt_type,material,tops_fit,sleeve_type,tops_length,overclothes_closure,blazer_neckline_type,underarm_sleeve_length,neckline_type,sleeve_length,heels_width,heels_height,boots-shoe_type,shoe_material,bracelet_type,overclothes_neckline_type,overclothes_type,waist_type,bottoms_length,skirt_type,skirt_length,bottoms_fit,glasses_type,headwear_type,jumpsuit_length,necklet_type,neckwear_type,overclothes-sleeveless_type,poncho_type,sandals-shoe_type,shorts_type,slippers-shoe_type,sneakers_type,sportswear_type,sweatshirt_type,swimwear_type,tank_type,bottoms_type,barcode,brand
https://fotos.skm.be/article/477970/477970_01_616eec9f9b0de50011bf302a.jpg,skirt,feminine,beige,female,plain,dating; winter,,pleated,,,,,,,,,,,,,,,,,,,high-waist,,a-line,midi,,,,,,,,,,,,,,,,,,47797001040101,Betty Barclay
https://fotos.skm.be/article/482453/482453_01_SR20211017DBSS22-10.jpg,blouse,business,magenta,female,plain,casual,,,,,cotton,regular-fit-tops,straight-sleeve,short,,,,v-neck,3-4-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48245301040101,Dame Blanche
https://fotos.skm.be/article/505479/505479_01_64651594287eb20011aada8e.jpg,cardigan,business,gray,female,marled,casual; winter,,cargo,,,knitted,regular-fit-tops,straight-sleeve,long,open-front,,,,long-sleeve,,,,,,v-neck,,,,,,,,,,,,,,,,,,,,,,,50547901050101,Betty Barclay
https://fotos.skm.be/article/480377/480377_01_21-222-EKLA-331_B.jpg,sweatshirt,casual,,male,net,casual,,,,,,oversized-tops,straight-sleeve,cropped,,,,v-neck,3-4-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48037701040101,Gigue
https://fotos.skm.be/article/481736/481736_01_61f2bb1ebb2f87001486f5c6.jpg,tops,casual,khaki,male,text-print,casual,,,,,cotton,regular-fit-tops,straight-sleeve,thigh-length,,,,round-neck,3-4-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48173601040101,Street One
https://fotos.skm.be/article/500909/500909_01_63d859eac911e10011dc2371.jpg,trousers_and_chinos,casual,navy,female,bleached,casual,,,,,denim,,,,,,,,,,,,,,,,high-waist,full-length,,,straight-fit-bottoms,,,,,,,,,,,,,,,,chinos,50090901020101,BRAX
https://fotos.skm.be/article/502178/502178_01_62c48047342f100011c58cc7.jpg,dress,feminine,pink,female,shapes,dating,,belted,,,,,straight-sleeve,,,,,high-neck,short-sleeve,,,,,,,,,,a-line,midi,,,,,,,,,,,,,,,,,,50217801040101,Fabienne Chapot
https://fotos.skm.be/article/435840/435840_19_63d0ef27cf6282001191a2b7.jpg,trousers_and_chinos,casual,,male,plain,casual; semi-formal,,,,,,,,,,,,,,,,,,,,,high-waist,full-length,,,slim-bottoms,,,,,,,,,,,,,,,,chinos,43584019030101,TONI
https://fotos.skm.be/article/497394/497394_01_mayerline-easy-care-broek-op-elastiek_S2023X-CADOX7000262-1.jpg,trousers_and_chinos,casual,purple,female,plain,casual,,,,,,,,,,,,,,,,,,,,,mid-waist,full-length,,,straight-fit-bottoms,,,,,,,,,,,,,,,,classic-trousers,49739401050101,Mayerline
https://fotos.skm.be/article/497740/497740_01_643de7ac08803200116543bb.jpg,skirt,feminine,multicolor; navy; white,female,geometric,casual,,,,,cotton,,,,,,,,,,,,,,,,high-waist,,a-line,midi,,,,,,,,,,,,,,,,,,49774001050101,GERRY WEBER
